Date,Details,Beach Name/Location,Organization,Items,Volunteer Hours,Weight
12/29/2018,Recap,Hilton Head Island,Individual (1118),58,0.5,1.19
12/11/2018,Recap,North Myrtle Beach,1542,188,1,2.7
12/06/2018,Recap,Isle of Palms,Individual (1103),4,1.5,0.08
12/06/2018,Recap,North Myrtle Beach,Individual (1314),27,0.25,1.01
11/30/2018,Recap,North Myrtle Beach,Individual (1109),24,1,0.35
11/24/2018,Recap,Hilton Head Island,Individual (1118),174,1,2.59
11/19/2018,Recap,Windy Hill Beach,Individual (1208),62,3,1.54
11/18/2018,Recap,Hilton Head Island,Individual (1118),56,0.5,1.23
11/17/2018,Recap,Sullivans Island,1542,167,53.5,14.66
11/13/2018,Recap,Hilton Head Island,Individual (1118),99,0.5,1.58
11/10/2018,Recap,Sullivans Island,1501,87,2.5,5.43
11/09/2018,Recap,North Myrtle Beach,Individual (1314),28,0.25,0.37
11/06/2018,Recap,Hilton Head Island,Individual (1118),418,1.25,3.69
10/29/2018,Recap,Hilton Head Island,Individual (1118),76,0.5,2.96
10/29/2018,Recap,North Myrtle Beach,Individual (1109),12,1,0.66
10/25/2018,Recap,Sullivans Island,1525,261,25,39.56
10/21/2018,Recap,Isle of Palms,1787,142,8,3.07
10/20/2018,Recap,Windy Hill Beach,1622,704,9,63.77
10/19/2018,Recap,Isle of Palms,1653,310,363,5.28
10/16/2018,Recap,Hilton Head Island,1514,264,25.5,11.18
10/16/2018,Recap,Isle of Palms,1787,10,0.5,1.26
10/14/2018,Recap,Hilton Head Island,Individual (1118),52,1,3.72
10/14/2018,Recap,North Myrtle Beach,Individual (1314),8,0.25,0.23
10/06/2018,Recap,North Myrtle Beach,1918,708,10,34.6
10/06/2018,Recap,North Myrtle Beach,Individual (1442),214,3.75,10.74
10/04/2018,Recap,Hilton Head Island,Individual (1118),94,0.75,3.67
10/04/2018,Recap,Windy Hill Beach,Individual (1208),41,1,0.88
09/24/2018,Recap,Folly Beach,1979,486,2.5,13.58
09/22/2018,Recap,Elliott's Beach,Individual (1118),4,0.5,0.06
09/19/2018,Recap,Hilton Head Island,1889,243,36,11.47
09/17/2018,Recap,Isle of Palms,Individual (1103),11,0.25,0.14
09/11/2018,Recap,North Myrtle Beach,Individual (1149),39,0.25,0.85
09/10/2018,Recap,Hunting Island,1920,13,1.5,0.23
09/07/2018,Recap,Windy Hill Beach,Individual (1208),333,38,3.61
09/06/2018,Recap,Folly Beach,1979,1153,63.25,26.63
09/06/2018,Recap,Windy Hill Beach,Individual (1208),142,0.25,0.77
09/05/2018,Recap,Hunting Island,Individual (1439),123,2,9.35
09/03/2018,Recap,Hunting Island,Individual (1357),8,3,1.62
09/03/2018,Recap,Isle of Palms,Individual (1377),24,4.5,0.92
08/27/2018,Recap,Hunting Island,1920,80,1,3.04
08/24/2018,Recap,Hilton Head Island,Individual (1118),262,1.5,4.87
08/23/2018,Recap,Hilton Head Island,Individual (1118),167,1,6.56
08/23/2018,Recap,North Myrtle Beach,Individual (1314),63,0.5,2.21
08/22/2018,Recap,Hilton Head Island,Individual (1118),348,1.25,10.22
08/20/2018,Recap,Hunting Island,1920,35,1.25,0.41
08/17/2018,Recap,Hilton Head Island,Individual (1118),188,1.5,6.43
08/15/2018,Recap,Hilton Head Island,Individual (1118),170,0.75,7.71
08/15/2018,Recap,Hunting Island,Individual (1439),19,1,2.22
08/14/2018,Recap,Hilton Head Island,Individual (1118),184,0.75,2.81
08/13/2018,Recap,Hilton Head Island,Individual (1118),207,0.5,4.07
08/10/2018,Recap,Folly Beach,1979,1306,0.5,36.29
08/10/2018,Recap,North Myrtle Beach,Individual (1109),11,1,0.65
08/09/2018,Recap,North Myrtle Beach,Individual (1314),78,0.5,2.31
08/08/2018,Recap,Hunting Island,Individual (1439),37,2.25,2.8
08/06/2018,Recap,Hunting Island,1920,61,2,3.67
08/05/2018,Recap,Hunting Island,1920,8,1.5,0.35
08/02/2018,Recap,Hunting Island,1920,33,3,3.7
07/31/2018,Recap,North Myrtle Beach,Individual (1314),24,0.25,1.01
07/30/2018,Recap,Hunting Island,1920,259,1,2.89
07/28/2018,Recap,North Myrtle Beach,1542,918,4.5,14
07/26/2018,Recap,Folly Beach,1979,895,47.5,34.23
07/26/2018,Recap,Folly Beach,Individual (1109),442,15,14.15
07/26/2018,Recap,Hunting Island,1920,13,5,1.77
07/25/2018,Recap,Folly Beach,1979,433,1.5,13.88
07/25/2018,Recap,Windy Hill Beach,Individual (1208),103,2,2.15
07/24/2018,Recap,Folly Beach,1979,1,5,0.03
07/23/2018,Recap,Hunting Island,1920,25,0.75,2.2
07/18/2018,Recap,Hilton Head Island,Individual (1118),62,0.75,4.7
07/18/2018,Recap,Hunting Island,Individual (1439),12,0.25,0.49
07/17/2018,Recap,Hilton Head Island,Individual (1118),15,7,1.56
07/16/2018,Recap,Hilton Head Island,Individual (1118),85,0.5,5.34
07/15/2018,Recap,Hilton Head Island,Individual (1118),417,1,6.23
07/13/2018,Recap,Hilton Head Island,Individual (1118),752,2,9.77
07/13/2018,Recap,Hunting Island,1920,16,2.5,1.63
07/13/2018,Recap,North Myrtle Beach,Individual (1314),36,0.25,2.74
07/12/2018,Recap,Hilton Head Island,Individual (1118),436,1.25,8.84
07/12/2018,Recap,Hunting Island,1920,34,9,4.01
07/12/2018,Recap,Pritchard's Island,Individual (1457),58,5,6.47
07/11/2018,Recap,Hunting Island,Individual (1439),33,0.75,2
07/10/2018,Recap,Hilton Head Island,Individual (1118),438,1,6.19
07/09/2018,Recap,Hilton Head Island,Individual (1118),208,1,7.98
07/09/2018,Recap,Hunting Island,1920,55,3,1.51
07/06/2018,Recap,Hunting Island,1920,12,24.75,1.61
07/05/2018,Recap,Hilton Head Island,Individual (1118),7,0.25,2.86
07/05/2018,Recap,Hunting Island,1920,135,6,10.55
07/04/2018,Recap,Hilton Head Island,Individual (1118),58,0.5,8.14
07/04/2018,Recap,Isle of Palms,1657,5,6,0.09
07/03/2018,Recap,Hilton Head Island,Individual (1118),98,7,3.21
07/02/2018,Recap,Hilton Head Island,Individual (1118),26,1,5.72
07/02/2018,Recap,Hunting Island,1920,135,1.25,6.23
07/01/2018,Recap,Hunting Island,1920,5,0.75,0.06
06/30/2018,Recap,Edisto Beach,1837,419,3,15.42
06/29/2018,Recap,Hilton Head Island,Individual (1118),85,0.5,3.9
06/29/2018,Recap,Hunting Island,1920,3,0.25,0.3
06/28/2018,Recap,Hilton Head Island,Individual (1118),209,12,5.66
06/28/2018,Recap,Hunting Island,1920,14,0.75,0.24
06/28/2018,Recap,North Myrtle Beach,Individual (1149),59,0.25,0.94
06/27/2018,Recap,Hunting Island,Individual (1439),63,13.25,8.6
06/26/2018,Recap,Hilton Head Island,Individual (1118),153,0.75,3.04
06/26/2018,Recap,Hunting Island,1920,13,2,0.24
06/25/2018,Recap,Hilton Head Island,Individual (1118),241,2,7.56
06/25/2018,Recap,Hunting Island,1920,171,5.5,16.91
06/22/2018,Recap,Hilton Head Island,Individual (1118),269,14.5,3.18
06/22/2018,Recap,Hunting Island,1920,5,1,1.08
06/21/2018,Recap,Hilton Head Island,Individual (1118),47,0.25,5.81
06/20/2018,Recap,Hilton Head Island,Individual (1118),128,2.75,3.19
06/20/2018,Recap,Hunting Island,1920,18,0.5,2.99
06/20/2018,Recap,Hunting Island,Individual (1439),15,0.75,1.53
06/18/2018,Recap,Folly Beach,1979,76,0.5,7.01
06/16/2018,Recap,Windy Hill Beach,Individual (1208),121,3,2.08
06/15/2018,Recap,Hilton Head Island,Individual (1118),172,1,2.89
06/15/2018,Recap,Hunting Island,1920,3,0.75,0.04
06/15/2018,Recap,Hunting Island,Individual (1442),22,6,2.92
06/14/2018,Recap,Hilton Head Island,Individual (1118),278,1.5,7.62
06/14/2018,Recap,Hunting Island,1920,25,3,1.45
06/13/2018,Recap,Hunting Island,1920,110,0.5,0.87
06/13/2018,Recap,Hunting Island,Individual (1439),10,0.25,1.51
06/13/2018,Recap,North Myrtle Beach,Individual (1149),61,0.25,3.36
06/12/2018,Recap,Hilton Head Island,Individual (1118),156,0.5,7.5
06/11/2018,Recap,Hilton Head Island,Individual (1118),100,1.5,6.3
06/11/2018,Recap,Hunting Island,1920,15,2,2.48
06/10/2018,Recap,Hilton Head Island,Individual (1118),107,0.75,4.18
06/09/2018,Recap,Folly Beach,1979,9,0.25,0.45
06/09/2018,Recap,Hilton Head Island,Individual (1118),263,0.75,3.38
06/09/2018,Recap,Hunting Island,1920,8,1,0.2
06/08/2018,Recap,Hilton Head Island,Individual (1118),72,0.5,0.88
06/08/2018,Recap,Hunting Island,1920,17,5.25,1.07
06/07/2018,Recap,Garden City Beach,1870,148,0.25,6.33
06/07/2018,Recap,Hilton Head Island,Individual (1118),101,0.75,2.66
06/07/2018,Recap,Hunting Island,1920,5,0.5,1.42
06/06/2018,Recap,Hilton Head Island,Individual (1118),402,8.75,8.55
06/06/2018,Recap,Hunting Island,Individual (1324),49,0.75,4.51
06/06/2018,Recap,North Myrtle Beach,Individual (1109),5,0.5,0.17
06/05/2018,Recap,Hilton Head Island,Individual (1118),146,0.75,4.09
06/05/2018,Recap,Hunting Island,1920,3,2.25,0.43
06/05/2018,Recap,Windy Hill Beach,Individual (1208),102,2,5.3
06/04/2018,Recap,Hunting Island,1920,12,1,1.34
06/04/2018,Recap,Hunting Island,Individual (1357),33,1.25,2.22
06/04/2018,Recap,Pritchard's Island,Individual (1457),60,10.5,3.95
06/03/2018,Recap,Hilton Head Island,Individual (1360),78,0.5,0.82
06/03/2018,Recap,Hilton Head Island,1869,417,16.5,14.06
06/03/2018,Recap,Hunting Island,1920,4,1.75,0.32
06/02/2018,Recap,Folly Beach,1979,252,0.25,8.33
06/01/2018,Recap,Hunting Island,1920,17,1.25,0.84
06/01/2018,Recap,North Myrtle Beach,Individual (1314),38,0.25,1.12
05/31/2018,Recap,Folly Beach,1979,509,4.5,5.2
05/31/2018,Recap,Hunting Island,1920,20,1.5,0.3
05/30/2018,Recap,Hunting Island,1920,30,14.5,3.66
05/30/2018,Recap,Hunting Island,Individual (1439),70,0.75,13.24
05/29/2018,Recap,Hunting Island,1920,33,2.75,2.01
05/28/2018,Recap,Folly Beach,1985,26,0.25,1.3
05/28/2018,Recap,Hilton Head Island,Individual (1118),45,0.5,3.58
05/28/2018,Recap,Hunting Island,1920,48,1.5,3.93
05/27/2018,Recap,Hunting Island,1920,26,2.75,2.92
05/26/2018,Recap,Hilton Head Island,Individual (1118),500,13.25,20.95
05/26/2018,Recap,Hunting Island,1920,16,2.75,0.28
05/25/2018,Recap,Folly Beach,1985,57,1,1.1
05/25/2018,Recap,Hilton Head Island,Individual (1118),110,0.75,4.48
05/25/2018,Recap,Hunting Island,1920,12,1,1.37
05/24/2018,Recap,Hilton Head Island,Individual (1118),130,1,5.57
05/24/2018,Recap,Hilton Head Island,1889,294,10.5,7.49
05/24/2018,Recap,Hunting Island,1920,24,2,4.65
05/23/2018,Recap,Hilton Head Island,Individual (1118),80,0.75,2.01
05/23/2018,Recap,Hunting Island,1920,24,0.75,0.98
05/22/2018,Recap,Hilton Head Island,Individual (1118),76,0.75,2.34
05/22/2018,Recap,Hunting Island,1920,4,0.75,1.8
05/21/2018,Recap,Folly Beach,1979,13,0.5,0.58
05/21/2018,Recap,Hilton Head Island,Individual (1118),109,13.75,3.63
05/21/2018,Recap,Hunting Island,1920,15,0.25,0.59
05/20/2018,Recap,Hilton Head Island,Individual (1118),45,1.25,4.33
05/19/2018,Recap,Hilton Head Island,Individual (1118),95,13.75,5.12
05/18/2018,Recap,Hilton Head Island,Individual (1118),303,1,5.2
05/17/2018,Recap,Hilton Head Island,Individual (1118),396,1.5,6.84
05/17/2018,Recap,Hunting Island,1920,11,1.5,0.08
05/16/2018,Recap,Hilton Head Island,Individual (1118),688,2.25,12.47
05/15/2018,Recap,Hilton Head Island,Individual (1118),401,1.25,4.76
05/15/2018,Recap,Surfside Beach,1799,296,4.25,12.89
05/14/2018,Recap,Folly Beach,1979,5,0.5,0.35
05/14/2018,Recap,Hilton Head Island,Individual (1118),421,7,27.71
05/14/2018,Recap,Hunting Island,1920,12,2,0.71
05/13/2018,Recap,Hilton Head Island,Individual (1118),20,12,0.56
05/13/2018,Recap,Hunting Island,1920,3,0.25,0.42
05/13/2018,Recap,Windy Hill Beach,Individual (1208),64,1.5,2.03
05/12/2018,Recap,Hilton Head Island,Individual (1118),392,14.75,21.2
05/12/2018,Recap,North Myrtle Beach,Individual (1314),94,0.5,1.9
05/11/2018,Recap,Folly Beach,1979,350,22.5,2.86
05/11/2018,Recap,Hilton Head Island,Individual (1118),110,0.75,3.64
05/11/2018,Recap,Hunting Island,1920,17,9,4.98
05/10/2018,Recap,Hilton Head Island,Individual (1118),200,13.75,4.39
05/10/2018,Recap,Hunting Island,1920,3,0.25,0.15
05/09/2018,Recap,Hilton Head Island,Individual (1118),147,14.25,5.2
05/09/2018,Recap,Hunting Island,1920,1,0.25,0.14
05/08/2018,Recap,Hilton Head Island,Individual (1118),197,13,5.06
05/08/2018,Recap,Hunting Island,1920,9,3.75,0.18
05/07/2018,Recap,Folly Beach,1985,2145,12.5,44.86
05/07/2018,Recap,Folly Beach,Individual (1072),5,0.25,0.11
05/07/2018,Recap,Hilton Head Island,Individual (1118),247,14,10.05
05/07/2018,Recap,Surfside Beach,Individual (1314),1,0.25,0.39
05/06/2018,Recap,Hilton Head Island,Individual (1118),352,13.75,15.53
05/05/2018,Recap,Hilton Head Island,Individual (1118),351,10.75,30.35
05/04/2018,Recap,Hilton Head Island,Individual (1118),42,0.5,1.04
05/04/2018,Recap,Hunting Island,1920,6,0.25,0.03
05/03/2018,Recap,Folly Beach,1979,1,0.25,0
05/03/2018,Recap,Hilton Head Island,Individual (1118),87,0.5,2.37
05/02/2018,Recap,Hilton Head Island,Individual (1118),24,0.5,0.52
05/01/2018,Recap,Hilton Head Island,Individual (1118),87,0.5,1.57
04/30/2018,Recap,Hilton Head Island,Individual (1118),237,1.25,6.13
04/29/2018,Recap,Hilton Head Island,Individual (1118),158,0.75,8.57
04/28/2018,Recap,Hilton Head Island,Individual (1118),147,1.75,4.31
04/28/2018,Recap,Sullivans Island,1542,296,24,26.92
04/27/2018,Recap,Hilton Head Island,Individual (1118),61,0.75,2.34
04/26/2018,Recap,Hilton Head Island,Individual (1118),46,0.75,2.87
04/25/2018,Recap,Folly Beach,1979,71,0.25,3.45
04/25/2018,Recap,Hilton Head Island,Individual (1118),51,1,0.94
04/24/2018,Recap,Hilton Head Island,Individual (1118),397,1.75,8.06
04/23/2018,Recap,Folly Beach,1979,69,0.25,3.46
04/22/2018,Recap,Hilton Head Island,Individual (1118),214,7.75,9.79
04/21/2018,Recap,Folly Beach,1979,251,1.25,8.05
04/21/2018,Recap,Hilton Head Island,Individual (1118),119,0.75,2.08
04/21/2018,Recap,North Myrtle Beach,1918,1261,18.75,74.71
04/21/2018,Recap,Atlantic Beach,Individual (1337),4,1,0.02
04/21/2018,Recap,Windy Hill Beach,1622,225,8.75,9.46
04/20/2018,Recap,Hilton Head Island,Individual (1118),99,6.25,3.9
04/20/2018,Recap,North Myrtle Beach,Individual (1442),53,1.25,3
04/19/2018,Recap,Hilton Head Island,Individual (1118),94,0.75,2.68
04/18/2018,Recap,Hilton Head Island,Individual (1118),166,1.75,5.88
04/15/2018,Recap,Hilton Head Island,Individual (1118),314,1.75,10.5
04/14/2018,Recap,Folly Beach,1979,482,0.25,10.39
04/14/2018,Recap,Hilton Head Island,Individual (1118),116,1,2.73
04/14/2018,Recap,Sullivans Island,1501,250,1.25,32.15
04/13/2018,Recap,Hilton Head Island,Individual (1118),86,0.75,2.2
04/12/2018,Recap,Hilton Head Island,Individual (1118),77,0.75,5.7
04/11/2018,Recap,Hilton Head Island,Individual (1118),68,0.75,3.68
04/10/2018,Recap,Hilton Head Island,Individual (1118),130,0.75,5.74
04/08/2018,Recap,Folly Beach,1979,2223,42.75,78.44
04/08/2018,Recap,Folly Beach,Individual (1076),315,3.5,9.36
04/08/2018,Recap,Hilton Head Island,Individual (1118),51,0.5,0.6
04/07/2018,Recap,Hilton Head Island,Individual (1118),166,1.75,11.15
04/06/2018,Recap,Hilton Head Island,Individual (1118),86,0.75,4.63
04/05/2018,Recap,Hilton Head Island,Individual (1118),51,0.5,1.69
04/05/2018,Recap,Windy Hill Beach,Individual (1208),94,2.25,0.67
04/04/2018,Recap,Hilton Head Island,Individual (1442),214,1.75,7.35
04/04/2018,Recap,Hilton Head Island,1514,211,7.75,14.08
04/03/2018,Recap,Hilton Head Island,Individual (1118),194,2,10.81
04/02/2018,Recap,Hilton Head Island,Individual (1118),33,0.75,1.67
04/02/2018,Recap,Hilton Head Island,1514,3,0.25,1.01
03/30/2018,Recap,North Myrtle Beach,Individual (1149),56,0.5,2.05
03/29/2018,Recap,Hilton Head Island,Individual (1118),122,0.75,5.05
03/27/2018,Recap,Hilton Head Island,Individual (1118),16,0.25,1.94
03/26/2018,Recap,Hilton Head Island,Individual (1118),11,0.25,0.18
03/25/2018,Recap,Hilton Head Island,Individual (1118),174,0.75,5.69
03/24/2018,Recap,Hilton Head Island,Individual (1118),69,1,1.84
03/24/2018,Recap,Isle of Palms,1706,78,13,9.39
03/23/2018,Recap,Folly Beach,1979,1034,60,17.07
03/23/2018,Recap,Hilton Head Island,Individual (1118),69,0.5,1.82
03/20/2018,Recap,Hilton Head Island,Individual (1118),169,6.75,9.32
03/19/2018,Recap,Hilton Head Island,Individual (1118),533,2,24.26
03/18/2018,Recap,Hilton Head Island,Individual (1118),105,1.75,4.56
03/17/2018,Recap,Hilton Head Island,Individual (1118),91,1.25,4.62
03/16/2018,Recap,Hilton Head Island,Individual (1118),46,3.25,1.84
03/16/2018,Recap,North Myrtle Beach,Individual (1109),13,0.5,0.37
03/15/2018,Recap,Hilton Head Island,Individual (1118),51,0.5,2.04
03/14/2018,Recap,Hilton Head Island,Individual (1118),25,0.25,1.46
03/12/2018,Recap,Hilton Head Island,Individual (1118),183,1.25,5.66
03/11/2018,Recap,Hilton Head Island,Individual (1118),27,0.5,5.14
03/10/2018,Recap,Hilton Head Island,Individual (1118),67,1.25,1.33
03/09/2018,Recap,Hilton Head Island,Individual (1118),6,0.25,0.17
03/09/2018,Recap,Myrtle Beach,Individual (1126),211,2,4.76
03/07/2018,Recap,Hilton Head Island,Individual (1118),32,0.5,1.91
03/06/2018,Recap,Hilton Head Island,Individual (1118),211,1,5.91
